Continent,Country,Population,Cases.New,Cases.Active,Cases.Critical,Cases.Recovered,Cases.1M_pop,Cases.Total,Deaths.New,Deaths.1M_pop,DeathsTotal,Tests.1M_pop,Tests.Total,Day,Time
North-America,Anguilla,15230,,13,4,3879,256336,3904,,788,12,3373736,51382,7/7/2023,2023-07-07T17:30:09+00:00
North-America,Saint-Pierre-Miquelon,5759,,1001,1,2449,599410,3452,,347,2,4410488,25400,7/7/2023,2023-07-07T17:30:09+00:00
Africa,Saint-Helena,6115,,2164,,2,354211,2166,,,,,,7/7/2023,2023-07-07T17:30:09+00:00
South-America,Falkland-Islands,3539,,0,,1930,545352,1930,,,,2439107,8632,7/7/2023,2023-07-07T17:30:09+00:00
North-America,Montserrat,4965,,19,,1376,282578,1403,,1611,8,3577442,17762,7/7/2023,2023-07-07T17:30:09+00:00
,Diamond-Princess,,,0,,699,,712,,,13,,,7/7/2023,2023-07-07T17:30:09+00:00
Europe,Vatican-City,799,,0,,29,36295,29,,,,,,7/7/2023,2023-07-07T17:30:09+00:00
Africa,Western-Sahara,626161,,0,,9,16,10,,2,1,,,7/7/2023,2023-07-07T17:30:09+00:00
,MS-Zaandam,,,0,,7,,9,,,2,,,7/7/2023,2023-07-07T17:30:09+00:00
Asia,China,1448471400,,118977,,379053,347,503302,,4,5272,110461,160000000,7/7/2023,2023-07-07T17:30:09+00:00
Oceania,Nauru,10903,,45,,5347,494635,5393,,92,1,1881042,20509,7/7/2023,2023-07-07T17:30:09+00:00
Oceania,Wallis-and-Futuna,10982,,3104,,438,323256,3550,,728,8,1867419,20508,7/7/2023,2023-07-07T17:30:09+00:00
Africa,Sao-Tome-and-Principe,227679,,0,,6508,28935,6588,,351,80,127530,29036,7/7/2023,2023-07-07T17:30:09+00:00
Oceania,Tuvalu,12066,,2942,,,243909,2943,,83,1,,,7/7/2023,2023-07-07T17:30:09+00:00
North-America,St-Barth,9945,,,,,553746,5507,,603,6,7908095,78646,7/7/2023,2023-07-07T17:30:09+00:00
Oceania,Tokelau,1378,,23,,,16691,23,,,,,,7/7/2023,2023-07-07T17:30:09+00:00
Oceania,Palau,18233,,3,,6006,330061,6018,,494,9,3834037,69906,7/7/2023,2023-07-07T17:30:09+00:00
North-America,Saint-Kitts-and-Nevis,53871,,0,,6559,122645,6607,,891,48,2356704,126958,7/7/2023,2023-07-07T17:30:09+00:00
Oceania,Kiribati,123419,,2354,3,2703,41169,5081,,194,24,,,7/7/2023,2023-07-07T17:30:09+00:00
Oceania,Niue,1622,1,1,,820,506165,821,,,,,,7/7/2023,2023-07-07T17:30:09+00:00
North-America,Cura&ccedil;ao,165529,,971,3,44720,277812,45986,,1782,295,3000640,496693,7/7/2023,2023-07-07T17:30:08+00:00
Europe,Isle-of-Man,85732,,,,,443335,38008,,1353,116,1758422,150753,7/7/2023,2023-07-07T17:30:08+00:00
Africa,Lesotho,2175699,,8087,,25980,15990,34790,,332,723,198199,431221,7/7/2023,2023-07-07T17:30:08+00:00
Europe,Faeroe-Islands,49233,,,5,,703959,34658,,569,28,15802409,778000,7/7/2023,2023-07-07T17:30:08+00:00
North-America,Cayman-Islands,67277,,22882,1,8553,467797,31472,,550,37,3311280,222773,7/7/2023,2023-07-07T17:30:08+00:00
Africa,Congo,5797805,,983,,24006,4377,25375,,67,386,59991,347815,7/7/2023,2023-07-07T17:30:08+00:00
Oceania,Solomon-Islands,721159,,,1,,34077,24575,,212,153,,,7/7/2023,2023-07-07T17:30:08+00:00
North-America,Nicaragua,6779100,,14041,,4225,2728,18491,,33,225,,,7/7/2023,2023-07-07T17:30:08+00:00
Africa,South-Sudan,11618511,,115,1,18115,1581,18368,,12,138,35313,410280,7/7/2023,2023-07-07T17:30:08+00:00
Asia,Tajikistan,9957464,,397,,17264,1786,17786,,13,125,,,7/7/2023,2023-07-07T17:30:08+00:00
North-America,Dominica,72344,,13,,15673,217848,15760,,1023,74,3170187,229344,7/7/2023,2023-07-07T17:30:08+00:00
Africa,Djibouti,1016097,,74,,15427,15441,15690,,186,189,301094,305941,7/7/2023,2023-07-07T17:30:08+00:00
Africa,CAR,5016678,,55,2,15200,3063,15368,,23,113,16205,81294,7/7/2023,2023-07-07T17:30:08+00:00
North-America,Greenland,56973,,9189,4,2761,210117,11971,,369,21,2894810,164926,7/7/2023,2023-07-07T17:30:08+00:00
Asia,Yemen,31154867,,662,23,9124,383,11945,,69,2159,10579,329592,7/7/2023,2023-07-07T17:30:08+00:00
Africa,Eritrea,3662244,,0,,10086,2782,10189,,28,103,6470,23693,7/7/2023,2023-07-07T17:30:08+00:00
Africa,Niger,26083660,,729,1,8890,381,9931,,12,312,9759,254538,7/7/2023,2023-07-07T17:30:08+00:00
North-America,Antigua-and-Barbuda,99509,,6,1,8954,91509,9106,,1467,146,189943,18901,7/7/2023,2023-07-07T17:30:08+00:00
North-America,British-Virgin-Islands,30596,,,,,238757,7305,,2092,64,3508269,107339,7/7/2023,2023-07-07T17:30:08+00:00
Africa,Burkina-Faso,22102838,,64,,21596,998,22056,,18,396,11265,248995,7/7/2023,2023-07-07T17:30:08+00:00
Africa,Equatorial-Guinea,1496662,7,139,5,16907,11512,17229,,122,183,244342,365697,7/7/2023,2023-07-07T17:30:08+00:00
Africa,Liberia,5305117,,12,2,7783,1525,8090,,56,295,26356,139824,7/7/2023,2023-07-07T17:30:08+00:00
North-America,Belize,412190,25,9,6,70085,171722,70782,,1669,688,1397453,576016,7/7/2023,2023-07-07T17:30:08+00:00
Africa,Seychelles,99426,,15,,50750,512311,50937,,1730,172,,,7/7/2023,2023-07-07T17:30:08+00:00
North-America,Caribbean-Netherlands,26647,3,1168,,10476,438398,11682,,1426,38,1130559,30126,7/7/2023,2023-07-07T17:30:08+00:00
Africa,Somalia,16841795,10,12791,,13182,1623,27334,,81,1361,23778,400466,7/7/2023,2023-07-07T17:30:08+00:00
Africa,Sierra-Leone,8306436,2,,,,934,7762,,15,126,31296,259958,7/7/2023,2023-07-07T17:30:08+00:00
Europe,Gibraltar,33704,88,3858,,16579,609720,20550,2,3353,113,15852213,534283,7/7/2023,2023-07-07T17:30:08+00:00
North-America,Bermuda,61939,11,10,,18685,304493,18860,2,2664,165,16622128,1029558,7/7/2023,2023-07-07T17:30:08+00:00
Africa,Benin,12784726,15,4,,27847,2191,28014,,13,163,47268,604310,7/7/2023,2023-07-07T17:30:08+00:00
Africa,Mauritania,4901981,47,247,,62471,12998,63715,,203,997,206030,1009957,7/7/2023,2023-07-07T17:30:08+00:00
Africa,Gambia,2558482,28,65,,12189,4935,12626,,145,372,60851,155686,7/7/2023,2023-07-07T17:30:08+00:00
Africa,Mayotte,286259,19,,,,146815,42027,,657,188,618038,176919,7/7/2023,2023-07-07T17:30:08+00:00
North-America,Saint-Lucia,185113,,548,,29095,162344,30052,,2209,409,1139752,210983,7/7/2023,2023-07-07T17:30:08+00:00
North-America,Grenada,113475,10,97,4,19358,173545,19693,,2097,238,1612523,182981,7/7/2023,2023-07-07T17:30:08+00:00
North-America,Bahamas,400516,,874,1,36366,95087,38084,,2107,844,643767,257839,7/7/2023,2023-07-07T17:30:08+00:00
Africa,Comoros,907419,,9,,8939,10038,9109,,177,161,,,7/7/2023,2023-07-07T17:30:08+00:00
Europe,Andorra,77463,,287,14,47563,619844,48015,,2130,165,3225256,249838,7/7/2023,2023-07-07T17:30:08+00:00
Africa,Tanzania,63298550,,,7,,681,43078,,13,846,,,7/7/2023,2023-07-07T17:30:08+00:00
Africa,Guinea-Bissau,2063367,,508,6,8929,4659,9614,,86,177,70385,145231,7/7/2023,2023-07-07T17:30:08+00:00
Africa,Chad,17413580,,2633,,4874,442,7701,,11,194,10988,191341,7/7/2023,2023-07-07T17:30:08+00:00
North-America,St-Vincent-Grenadines,111551,12,14,,9493,86337,9631,,1112,124,1023720,114197,7/7/2023,2023-07-07T17:30:08+00:00
Africa,Gabon,2331533,11,11,,48674,21013,48992,1,132,307,695641,1621909,7/7/2023,2023-07-07T17:30:08+00:00
